season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
2,Main,Nidalee,7,22.6,4,3,2,3,0,100,2.67,1.33,6.67,7,281.67,8.39,12.9,383,,,,,
2,Main,Twisted Fate,7,22.6,7,0,,0,0,,,,,,,,,,,,,,
2,Main,Taric,6,19.4,,6,5,2,4,33.3,0.33,2.83,7.17,2.65,13.17,0.38,7,202,,,,,
2,Main,Lulu,6,19.4,,6,4,1,5,16.7,0.83,3.83,4.33,1.35,29.83,0.89,6.8,203,,,,,
2,Main,Lux,6,19.4,1,5,4,2,3,40,1.6,1.4,5,4.71,179.4,5.35,10,299,,,,,
2,Main,Shyvana,6,19.4,1,5,5,0,5,0,0.8,3.6,4.2,1.39,141.2,3.79,8.1,217,,,,,
2,Main,Malphite,6,19.4,2,4,3,2,2,50,1.25,2.25,6.5,3.44,156.25,4.89,8.8,276,,,,,
2,Main,Diana,6,19.4,3,3,2,1,2,33.3,3,3.33,4.67,2.3,208.33,5.88,10.2,288,,,,,
2,Main,Udyr,5,16.1,,5,4,0,5,0,0.6,3.8,2.2,0.74,128.4,4.06,7.4,233,,,,,
2,Main,Morgana,5,16.1,1,4,3,1,3,25,3.25,2.25,3.5,3,251.5,7.22,10.5,302,,,,,
2,Main,Vayne,4,12.9,,4,2,3,1,75,7.25,2.75,6.5,5,230,7.47,11.7,381,,,,,
2,Main,Zyra,4,12.9,,4,2,2,2,50,0,2.75,9.5,3.45,42.5,1.2,7.8,220,,,,,
2,Main,Cassiopeia,4,12.9,,4,2,1,3,25,4.75,2.75,2.75,2.73,204.75,6.9,9.4,317,,,,,
2,Main,Gragas,4,12.9,2,2,2,0,2,0,1,1.5,2.5,2.33,306,7.75,11.2,283,,,,,
2,Main,Katarina,4,12.9,3,1,1,0,1,0,1,5,2,0.6,169,6.17,7.1,259,,,,,
2,Main,Miss Fortune,3,9.7,,3,1,2,1,66.7,3.33,3,5.33,2.89,235.33,6.92,11.6,341,,,,,
2,Main,Caitlyn,3,9.7,,3,3,1,2,33.3,2.67,1.33,2.33,3.75,297.67,8.97,11.7,352,,,,,
2,Main,Ryze,3,9.7,,3,2,1,2,33.3,2,3.67,4.33,1.73,172.67,6.44,7.6,284,,,,,
2,Main,Cho'Gath,3,9.7,1,2,2,1,1,50,1.5,2,3.5,2.5,125.5,3.24,9.2,236,,,,,
2,Main,Sivir,3,9.7,3,0,,0,0,,,,,,,,,,,,,,
2,Main,Singed,2,6.5,,2,1,2,0,100,3.5,1,6.5,10,287,8.17,13.2,376,,,,,
2,Main,Xin Zhao,2,6.5,,2,2,2,0,100,2,2.5,15.5,7,136,4.24,9.6,299,,,,,
2,Main,Zilean,2,6.5,,2,1,1,1,50,3.5,3.5,8,3.29,212,7.3,9.3,319,,,,,
2,Main,Darius,2,6.5,,2,2,0,2,0,2.5,4,2.5,1.25,188,5.05,8.8,238,,,,,
2,Main,Nocturne,2,6.5,,2,2,0,2,0,2.5,5.5,9,2.09,224.5,4.65,12.9,267,,,,,
2,Main,Ahri,2,6.5,1,1,1,1,0,100,6,0,3,9,184,6.13,11.4,380,,,,,
2,Main,Draven,2,6.5,2,0,,0,0,,,,,,,,,,,,,,
2,Main,Amumu,1,3.2,,1,1,1,0,100,4,6,16,3.33,145,3.47,12.4,297,,,,,
2,Main,Soraka,1,3.2,,1,1,1,0,100,1,0,11,12,12,0.34,8.3,232,,,,,
2,Main,Jarvan IV,1,3.2,,1,1,0,1,0,6,3,14,6.67,297,7.16,14,337,,,,,
2,Main,Riven,1,3.2,,1,1,0,1,0,2,6,1,0.5,242,5.97,10.2,251,,,,,
2,Main,Swain,1,3.2,,1,1,0,1,0,8,5,10,3.6,243,5.86,13.2,318,,,,,
2,Main,Tristana,1,3.2,,1,1,0,1,0,0,5,0,0,200,7.01,7,245,,,,,
2,Main,Gangplank,1,3.2,1,0,,0,0,,,,,,,,,,,,,,
2,Main,Twitch,1,3.2,1,0,,0,0,,,,,,,,,,,,,,
3,Main,Zed,63,100,52,11,9,6,5,54.5,5.73,3.82,5.36,2.9,230.27,7.33,11.5,365,,,,,
3,Main,Shen,61,96.8,35,26,13,15,11,57.7,2.88,2.27,10.12,5.73,201.92,6.08,10.9,329,,,,,
3,Main,Corki,59,93.7,26,33,12,16,17,48.5,4.58,2.55,5.06,3.79,249.79,7.73,11.8,364,,,,,
3,Main,Ahri,52,82.5,26,26,10,12,14,46.2,4.42,3,5.12,3.18,251.81,7.8,11.6,360,,,,,
3,Main,Zyra,48,76.2,6,42,12,23,19,54.8,1.31,2.86,7.45,3.07,33.05,1.03,7,218,,,,,
