,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner
18168,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-23 22:00:00,TSM,Clutch Gaming,0,1,2
19754,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-23 22:00:00,INFINITY,Dash9 Gaming,0,1,2
18169,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-23 23:00:00,OpTic Gaming,Echo Fox,1,0,1
19755,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-23 23:00:00,6Sense,Predators Esports,0,1,2
19756,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-24 00:00:00,Pixel Esports Club,Gaming Gaming,0,1,2
18170,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-24 00:00:00,100 Thieves,FlyQuest,1,0,1
18171,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-24 01:00:00,Golden Guardians,Cloud9,1,0,1
6697,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-24 06:00:00,Oh My God,Topsports Gaming,2,0,1
13596,VCS 2018 Summer,Vietnam Championship Series,VCS,2018-06-24 07:00:00,Cube Adonis,Phong Vũ Buffalo,1,2,2
16432,LMS 2018 Summer,LoL Master Series,LMS,2018-06-24 08:00:00,Team Afro,J Team,0,2,2
4420,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-24 08:00:00,SK Telecom T1,Jin Air Green Wings,2,0,1
6698,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-24 09:00:00,EDward Gaming,Team WE,2,0,1
13597,VCS 2018 Summer,Vietnam Championship Series,VCS,2018-06-24 10:00:00,EVOS Esports,Friends Forever Gaming,1,2,2
6699,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-24 11:00:00,Rogue Warriors,FunPlus Phoenix,2,0,1
16433,LMS 2018 Summer,LoL Master Series,LMS,2018-06-24 11:00:00,Hong Kong Attitude,G-Rex,2,0,1
4421,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-24 11:00:00,bbq Olivers,Kingzone DragonX,0,2,2
8607,CBLOL 2018 Split 2,Circuit Brazilian League of Legends,CBLOL,2018-06-24 15:00:00,Ilha da Macacada Gaming,Vivo Keyd,2,1,1
19958,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-24 16:00:00,Hafnet eSports,Isurus,0,1,2
19959,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-24 17:00:00,Evilvice Esports,Legatum,0,1,2
8608,CBLOL 2018 Split 2,Circuit Brazilian League of Legends,CBLOL,2018-06-24 17:30:00,RED Canids,KaBuM! Esports,0,2,2
19960,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-24 18:00:00,Dark Horse,Rebirth eSports,1,0,1
18172,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-24 19:00:00,FlyQuest,OpTic Gaming,1,0,1
19961,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-24 19:00:00,Furious Gaming,Kaos Latin Gamers,0,1,2
18173,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-24 20:00:00,Cloud9,100 Thieves,0,1,2
18174,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-24 21:00:00,Team Liquid,TSM,1,0,1
19757,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-24 21:00:00,ZAGA Talent Gaming,INFINITY,0,1,2
18175,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-24 22:00:00,Clutch Gaming,Counter Logic Gaming,0,1,2
19758,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-24 22:00:00,Gaming Gaming,6Sense,1,0,1
18176,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-24 23:00:00,Echo Fox,Golden Guardians,1,0,1
19759,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-24 23:00:00,Dash9 Gaming,Pixel Esports Club,0,1,2
19760,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-25 00:00:00,Predators Esports,Rainbow7,0,1,2
6700,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-25 09:00:00,JD Gaming,LGD Gaming,2,1,1
6701,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-25 11:00:00,Invictus Gaming,Suning,2,1,1
