,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner
5103,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-27 08:00:00,KT Rolster,Liiv SANDBOX,1,2,2
7693,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-27 09:00:00,Top Esports,Oh My God,0,2,2
7694,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-27 11:00:00,Royal Never Give Up,Bilibili Gaming,2,1,1
5104,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-27 11:00:00,T1,Nongshim RedForce,2,1,1
9184,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-01-27 20:00:00,paiN Gaming,Liberty,1,0,1
9185,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-01-27 21:00:00,paiN Gaming,KaBuM! Esports,0,1,2
5105,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-28 08:00:00,Hanwha Life Esports,DWG KIA,0,2,2
5106,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-28 11:00:00,Fredit BRION,Kwangdong Freecs,2,0,1
3596,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-28 17:00:00,Team BDS,Astralis,1,0,1
3597,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-28 18:00:00,MAD Lions,Excel Esports,1,0,1
3598,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-28 19:00:00,Team Vitality,SK Gaming,1,0,1
3599,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-28 20:00:00,Rogue (European Team),Fnatic,1,0,1
3600,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-28 21:00:00,Misfits Gaming,G2 Esports,0,1,2
2599,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-28 22:30:00,Dignitas,Team Liquid,1,3,2
5107,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-29 08:00:00,Gen.G,KT Rolster,0,2,2
5108,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-29 11:00:00,Nongshim RedForce,DRX,0,2,2
15728,TCL 2022 Winter,Turkish Championship League,TCL,2022-01-29 11:00:00,5 Ronin,Fenerbahçe Esports,0,1,2
15729,TCL 2022 Winter,Turkish Championship League,TCL,2022-01-29 12:00:00,Team AURORA,Beşiktaş Esports,1,0,1
15730,TCL 2022 Winter,Turkish Championship League,TCL,2022-01-29 13:00:00,Galatasaray Esports,Galakticos,1,0,1
