Team,Team_abbr,Region_code
TNC Pro Team,TNC,PCS
TNU Eagle (東南飛鷹),TNU,PCS
Tồ Gaming,TG,VN
Together Esports,TE,EMEA
Tomorrow Esports,TMR,LAT
Tongtex Suns (東泰太陽),TS,PCS
Tony Parker Adequat Academy,TPAA,EMEA
TOOOLS esports,OOO,EMEA
Top Dog Gaming,TDG,NA
Top Esports,TES,CN
Top Esports Challenger,TESC,CN
TopHard Esports,TH,LAT
ToxicFalcons eSports,TF,EMEA
ToxicFalcons eSports Belgium,TF.BE,EMEA
ToxicFalcons Oldschool,TF.OS,EMEA
TrainHard eSport,TH,EMEA
Trance's Tyrants,TTS,NA
Tricked Esport,TRC,EMEA
Tricksters,TRX,INT
Trident Esports,TRI,PCS
Triple Esports,TRP,EMEA
Triumphant Song Gaming,TSG,CN
True eSport,TeS,EMEA
TSM,TSM,NA
TSM Academy,TSM.A,NA
TSM Amateur,TSM.Am,NA
TSM Challengers,TSMC,NA
TSM Darkness,TSD,NA
Tt Dragons Taiwan,TTD,INT
Tt eSPORTS Dragons,TTD,EMEA
Tundra Gaming,TDG,EMEA
Turing eSports,TS,EMEA
Twareg Esports,TWG,INT
TWELVE,12,CN
Twisted Minds,TM,INT
Two-eyed Monsters,2eM,JP
TWOTWOEIGHT,228,INT
TyLoo,TL,CN
U Rage QuiT,URQ,INT
UCAM Penguins,UCAM,EMEA
UCAM Penguins Academy,UCAM.A,EMEA
UCAM Tokiers,UCAM,EMEA
UCAM Tokiers Academy,UCAM.A,EMEA
Ultimate Gaming,ULT,PCS
Ultimate Senpai,USP,PCS
Ultra Prime,UP,CN
Ultra Prime Academy,UPA,CN
Umbra Collective,UC,NA
Umbra Divinus Gaming,UDG,EMEA
Undead Gaming,UBK,LAT
Underdog,UDG,PCS
Underworld Esports,UWE,EMEA
Unfazed Esport,UFZ,EMEA
Unicorns of Love,UOL,EMEA
Unicorns of Love Sexy Edition,USE,EMEA
Unicorns of Love.CIS,UOL,INT
UniQ Esports Club,UNIQ,EMEA
Universidad Católica Esports,UC,LAT
Universidad de Chile Esports,UCH,LAT
Universitario Esports,UE,LAT
University of British Columbia,UBC,NA
"University of California, Irvine",UCI,NA
"University of California, Los Angeles",UCLA,NA
"University of California, Riverside",UCR,NA
"University of California, San Diego",UCSD,NA
University of Colorado Boulder,CUB,NA
University of Illinois at Urbana-Champaign,UIUC,NA
University of Louisiana at Lafayette,UL,NA
"University of Maryland, College Park",UMD,NA
University of Michigan,UM,NA
"University of Minnesota, Twin Cities",UMN,NA
University of Mississippi,MISS,NA
University of Missouri Columbia,MIZZ,NA
University of North America,UoNA,NA
University of Ottawa,UO,NA
University of South Florida,USF,NA
University of St. Thomas,UST,NA
University of St. Trevor,UST,NA
University of Texas at Austin,UT,NA
University of Texas at Dallas,UTD,NA
University of Toronto,UT,NA
University of Toronto Scarborough,UTSC,NA
University of Washington,UW,NA
University of Waterloo,UW,NA
University of Western Ontario,UWO,NA
Unknowns Gamers,UKG,LAT
Unlimited Potential,UP,CN
unRestricted eSports,UNR,NA
Unsold Stuff Gaming,USG,JP
Upper Echelon,UE,EMEA
Uppercut esports,UP,BR
UQ Union,UQU,PCS
UTM Esports,UTM,VN
UTS Esports,UTS,PCS
V Gaming,VGE,VN
V Gaming Adonis,VGA,VN
V3 Esports,V3,JP
V3 Esports Academy,V3.A,JP
V3 Esports Youth,V3.Y,JP
V3 New Generation,V3NG,JP
V5 87,87,CN
v8 eSports,V8,NA
Vaevictis eSports,VS,INT
Vaevictis Syndicate,VVS,INT
Val 2.0 Valkyrie,VLV,EMEA
Valencia CF eSports,VCF,EMEA
Valhalla Vikings,VV,EMEA
Valiance,VPG,EMEA
Valkiria Esports,VLK,EMEA
Valorous,VAL,LAT
Valyrian Dragons,VD,EMEA
Vandals Esports,VAN,LAT
Vanir,VNR,EMEA
Vanung Lion (萬能雄獅),VL,PCS
Varona Esports,VAE,EMEA
VAULT,VLT,LAT
VC Gaming,VC,CN
Vector Gaming,VG,EMEA
Vega Squadron,VEG,INT
Vegas Inferno,INF,NA
Velocity eSports,VES,NA
Veni eSports,VENI,EMEA
Venomcrest Esports,VNC,EMEA
Ventus Esports,VT,EMEA
Verdant,VER,EMEA
Verity Esports,VE,NA
Vertex Esports Club,VTX,PCS
Vestigial,VTL,PCS
Vexo eSports,VEXO,NA
Vici Esports,VE,CN
Vici Gaming,VG,CN
Vici Gaming 2,VG 2,CN
Vici Gaming Academy,VGA,CN
Vici Gaming Potential,VGP,CN
Vici Potential Gaming,VGP,CN
Vici Star Gaming,VG.S,CN
Victorious Ace,VA,EMEA
Victorious Gaming,VTG,CN
Victory Five,V5,CN
Victory Song Gaming,VSG,CN
Vietnam Esports TV,VETV,VN
VietSun Esports,VSE,VN
Viking Esports,VIK,EMEA
Vikingekrig Academy,VIK.A,EMEA
Vikingekrig Esports,VIK,EMEA
Vikings Gaming,HNV,VN
Villarreal QLASH,VIL,EMEA
Vince Te Ipsum Ignis,vTi Ignis,BR
Vince Te Ipsum Nox,vTi Nox,BR
VININE,V9,EMEA
Viperio,VIP,EMEA
Vipers,VIPS,LAT
Vipers Inc,VIP,EMEA
Vireo.Pro,VIR,NA
Virginia Polytechnic Institute and State University,VT,NA
Virtual Reality Game,VRG,CN
Virtuoso Gaming,VSG,KR
Virtus Legion,VL,INT
Virtus.pro,VP,INT
VIRUS,VS,EMEA
VIS eSports,VIS,EMEA
Visual Perception,VP,EMEA
VITA,VITA,EMEA
Vitality.Bee,VITB,EMEA
ViV Esport,ViV,EMEA
Vivo Keyd,VK,BR
Vivo Keyd Stars,VKS,BR
Vivo Keyd Stars Academy,VKS.A,BR
Vodafone Giants Academy,VGIA.A,EMEA
Vodafone Giants White,VGIA.W,EMEA
Void Esports Fear,VDE.F,EMEA
Void Gaming,VG,EMEA
Void Gaming Phenomenon,VGP,EMEA
Void Purple,Void P,EMEA
Vorax Liberty,VRX,BR
Vorax Liberty Academy,VRX.A,BR
Vortex,VTX,NA
Vortex Five,V5,EMEA
Vortex Gaming,VTX,LAT
Vortex Team,VT,CN
VP Game,VP,CN
VSG,VSG,KR
VSlash GnG,VSG,INT
vVv Gaming,VVV,NA
vVv Gaming Red,VR,NA
vVv Gaming White,VW,NA
Waia Snikt,WS,LAT
Wan Yoo,WY,CN
WannaBeWithYou,WBY,INT
WanZhen Esports Club,WZ,CN
WAP Esports,WAP,LAT
War Legion Esports,WLE,LAT
Wargods,Wargods,PCS
Wargods La Liga Pilipinas,WG.LLP,PCS
WarKidZ E-Sports,WKZ,EMEA
Warthox,WTX,EMEA
WAVE Esports,WAVE,EMEA
WaY,WaY,KR
Wayi Spider,WS,INT
Wayi Spider China,WS,CN
Wazabi Gaming,WZG,NA
We Talent,WT,LAT
Webidoo Gaming,WBD,EMEA
Weibo Gaming,WBG,CN
Weibo Gaming Youth Team,WBG.Y,CN
WeSports,WES,EMEA
West Point Esports,WPE.PH,PCS
Western Esports,WEST,NA
Western Wolves,wW,EMEA
WhereAreyouFrom,WAF,KR
White Bears eSports,WB,LAT
White Dragons,WD,EMEA
Wichita Wolves,WW,NA
Wicked Gaming,WG,EMEA
WiLD Academy,WiLD.A,EMEA
Wild Fire e-Sports Club,WF,EMEA
Wild Jaguars,WJ,LAT
WiLD MultiGaming,WiLD,EMEA
Wild Panthers Esports,WPE,EMEA
Wild West Bandits,WWB,NA
Wildcard Aces,WCA,NA
Wildcard Gaming,WC,NA
Wildcard Gaming Black,WCB,NA
Wildcard Gaming Developmental,WCD,NA
Wildcard Gaming Red,WCR,NA
WIN Esports,WIN,PCS
Wina Krzycha,WK,EMEA
Wind and Rain,WAR,EMEA
Wind and Rain Balkan,WAR.B,EMEA
Wind and Rain Germany,WAR.G,EMEA
Wind and Rain NA,WAR.NA,NA
Wind and Rain Nordic,WAR.N,EMEA
Windstorm Gaming,WS,NA
Wings of Aurora,WOA,CN
WingsOflibeRty,WOR,INT
Winners,WNS,KR
Winston King of Amateur,KOA,NA
Winterfox,WFX,NA
Winthrop University,WU,NA
Wisła Płock eSports,WP,EMEA
Wizard esports,WIZ,EMEA
Wizards,WIZ,EMEA
WLGaming Esports,WLG,EMEA
WNKR,WNKR,EMEA
Wolf Club Esports,WCE,LAT
Wonder Stag e-Sports,WSE,EMEA
World Class Empyreans,WCE,NA
Wortex Gaming,WTX,EMEA
WP Gaming,WP,BR
wSystem e-Sports Club,wSys,EMEA
WuDu,WD,CN
Wulf Pack Esports,WP,NA
WYDream,WYD,CN
Wygers Argentina,WYG,LAT
Wygers Colombia,WYG,LAT
x25 Esports,X25,EMEA
x6tence,x6,EMEA
x6tence Academy,x6.A,EMEA
x6tence México,x6.M,LAT
X7 Ascent,X7.A,EMEA
X7 Esports,X7,EMEA
XAL Esports,XAL,EMEA
Xan,XAN,PCS
Xavier Esports,XAV,PCS
XD,XD,KR
XD Prinfor,XD,EMEA
XD Prinfor B,XD.B,EMEA
XDG Gaming,XDG,NA
Xenics,XEN,KR
Xenics Blast,XB,KR
Xenics Storm,XS,KR
Xgame,XG,PCS
XGamers,XG,INT
Xoldiers,XOL,EMEA
XPG Invicta,XPG,EMEA
XT Esports,XT,NA
XTEN Esports,XTN,LAT
XTEN Mexico,XTN.M,LAT
XTGN,XTGN,NA
XtremeDominators,XD,EMEA
XY Esports,XY,EMEA
XYZ,XYZ,KR
y so E-Sports,YSO,NA
Y.O.L.O.,Y.O.L.O.,NA
YDN Elysium,YDN.E,EMEA
YDN Esports,YDN,EMEA
YDN Legion,YDN.L,EMEA
YeaH! Gaming,YeaH,BR
Yellow Stripes,V,EMEA
York University,YU,NA
YouCantStopMe,YCSM,INT
Young Boss,YB,KR
Young Buffalo,YB,VN
Young Generation,YGE,VN
Young Glory,YG,CN
Young Miracles,YM,CN
Young Ninjas,YN,CN
Your Exit,YE,INT
Your Soul Shall Chuffer,YSSC,PCS
Youth Warriors (青年勇士),YW,PCS
YouthCrew Esports,YC,EMEA
Yutoru,YTR,EMEA
ZAGA Talent Gaming,ZTG,INT
Žalgiris Esports,ZAL,EMEA
ZeBopSquad,ZEBO,NA
Zeeman,ZEE,EMEA
Zen Aïe Tea Refugees,ZAT,EMEA
Zenigma,ZEN,NA
Zenigma Eclipse,ZEN.E,NA
Zenigma Lunar,ZEN.L,NA
Zenigma Solar,ZEN.S,NA
Zenith Esports,ZEN,NA
ZennIT,ZNT,EMEA
ZentaX Esports,ZTX,EMEA
Zephyr E-Sport White,ZPR.W,EMEA
Zephyr Esport,ZPR,EMEA
Zephyr Esport Academy,ZPR.A,EMEA
Zephyr Esport Red,ZPR.R,EMEA
Zero Six PowerSpike,06,EMEA
Zero Tenacity,Z10,EMEA
Zerolag Esports,HELL,EMEA
Zerolag Esports Academy,ZRL.A,EMEA
ZeroSeven Gera,07,EMEA
ZeroZone Gaming,ZZG,EMEA
ZETA,ZTA,EMEA
Zeta Team,Z,EMEA
Zeu5 Bogota,Z5,LAT
Zeu5 Gaming,Z5,INT
Zeus Kralik,Z5K,LAT
Zodiac Esports,ZDC,NA
Zoltak Legion,ZK,INT
ZONE eSports,ZONE,EMEA
Zooby's Kittens,ZBY,NA
Zoos Gaming,ZOO,NA
ZOTAC United,ZOT,PCS
ZTR Gaming,ZTR,CN
Zwan Gaming,ZWN,LAT
Zwan Gaming Academy,ZWAN,LAT
Zwan Gaming Colombia,ZWN.C,LAT
Zwan Gaming Mexico,ZWN.M,LAT
Zylant Esports,ZLT,LAT
DAMWON Gaming,DK,KR
DWG KIA,DK,KR
Epik Gamer,EPIK,NA
Team Pacific,PCFC,PCS
CLG Prime,NRG,NA
NaJin Sword,NJBS,KR
Moscow Five,M5,INT
GamingGear.eu,GG.EU,INT
Samsung Ozone,SSW,KR
Star Horn Royal Club,RYL,CN
KOO Tigers,HLE,KR
Lyon Gaming (2013 Latin American Team),LYN,INT
GIGABYTE Marines,GAM,VN
SuperMassive Esports,SUP,EMEA
Afreeca Freecs,KDF,KR
Griffin (Korean Team),GRF,KR
Rainbow7,R7,LAT
Rogue (European Team),RGE,EMEA
PEACE (Oceanic Team),PCE,PCS
Evil Geniuses.NA,EG,NA
Istanbul Wildcats,IW,EMEA
