,,,,,,,,,,,,,,,,,,,,,EXPECTED,,,,,,,,,,,,,,ACTUAL,,,,,,,,,,,,,
,Tournament,League,Date,Gamelength,Team1,Team2,Team1Score,Team2Score,WinTeam,Year,Region_T1,Team_T1,Region_code_T1,Region_T2,Team_T2,Region_code_T2,Region_Win,Team_Win,Region_code_Win,Blue/Red,G2,FNC,MAD,RGE,VIT,MSF,SK,XL,S04,OG,AST,BDS,SPY,TH,G2,FNC,MAD,RGE,VIT,MSF,SK,XL,S04,OG,AST,BDS,SPY,TH
17214,LEC 2019 Spring,LEC,08/03/2019 18:59,30:35:00,SK Gaming,Origen,0,1,Origen,2019,EMEA,SK,EMEA,Europe,OG,EMEA,Europe,OG,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17216,LEC 2019 Spring,LEC,08/03/2019 19:56,22:11,Team Vitality,Rogue (European Team),1,0,Team Vitality,2019,EMEA,VIT,EMEA,Europe,RGE,EMEA,EMEA,VIT,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17217,LEC 2019 Spring,LEC,08/03/2019 20:52,35:00:00,Fnatic,Misfits Gaming,1,0,Fnatic,2019,EMEA,FNC,EMEA,Europe,MSF,EMEA,EMEA,FNC,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17244,LEC 2019 Spring,LEC,09/03/2019 15:21,29:14:00,Misfits Gaming,FC Schalke 04 Esports,0,1,FC Schalke 04 Esports,2019,Europe,MSF,EMEA,EMEA,S04,EMEA,EMEA,S04,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17246,LEC 2019 Spring,LEC,09/03/2019 16:37,36:46:00,SK Gaming,Splyce,0,1,Splyce,2019,EMEA,SK,EMEA,Europe,SPY,EMEA,Europe,SPY,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17248,LEC 2019 Spring,LEC,09/03/2019 17:51,24:40:00,Excel Esports,Fnatic,0,1,Fnatic,2019,EMEA,XL,EMEA,EMEA,FNC,EMEA,EMEA,FNC,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17250,LEC 2019 Spring,LEC,09/03/2019 18:43,29:15:00,Rogue (European Team),Origen,0,1,Origen,2019,Europe,RGE,EMEA,Europe,OG,EMEA,Europe,OG,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17252,LEC 2019 Spring,LEC,09/03/2019 19:35,39:43:00,Team Vitality,G2 Esports,0,1,G2 Esports,2019,EMEA,VIT,EMEA,EMEA,G2,EMEA,EMEA,G2,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17365,LEC 2019 Spring,LEC,15/03/2019 16:33,40:45:00,Misfits Gaming,Splyce,0,1,Splyce,2019,Europe,MSF,EMEA,Europe,SPY,EMEA,Europe,SPY,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17366,LEC 2019 Spring,LEC,15/03/2019 17:50,39:36:00,SK Gaming,Rogue (European Team),1,0,SK Gaming,2019,EMEA,SK,EMEA,Europe,RGE,EMEA,EMEA,SK,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17367,LEC 2019 Spring,LEC,15/03/2019 18:58,48:05:00,Fnatic,G2 Esports,1,0,Fnatic,2019,EMEA,FNC,EMEA,EMEA,G2,EMEA,EMEA,FNC,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17368,LEC 2019 Spring,LEC,15/03/2019 20:17,28:31:00,Excel Esports,Team Vitality,1,0,Excel Esports,2019,EMEA,XL,EMEA,EMEA,VIT,EMEA,EMEA,XL,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17369,LEC 2019 Spring,LEC,15/03/2019 21:16,30:34:00,FC Schalke 04 Esports,Origen,0,1,Origen,2019,EMEA,S04,EMEA,Europe,OG,EMEA,Europe,OG,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17406,LEC 2019 Spring,LEC,16/03/2019 15:19,35:38:00,G2 Esports,Misfits Gaming,0,1,Misfits Gaming,2019,EMEA,G2,EMEA,Europe,MSF,EMEA,Europe,MSF,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17409,LEC 2019 Spring,LEC,16/03/2019 16:45,34:47:00,Rogue (European Team),FC Schalke 04 Esports,0,1,FC Schalke 04 Esports,2019,Europe,RGE,EMEA,EMEA,S04,EMEA,EMEA,S04,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17412,LEC 2019 Spring,LEC,16/03/2019 17:48,20:24,Team Vitality,SK Gaming,0,1,SK Gaming,2019,EMEA,VIT,EMEA,EMEA,SK,EMEA,EMEA,SK,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17415,LEC 2019 Spring,LEC,16/03/2019 18:34,29:33:00,Excel Esports,Origen,0,1,Origen,2019,EMEA,XL,EMEA,Europe,OG,EMEA,Europe,OG,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17417,LEC 2019 Spring,LEC,16/03/2019 19:37,27:13:00,Fnatic,Splyce,1,0,Fnatic,2019,EMEA,FNC,EMEA,Europe,SPY,EMEA,EMEA,FNC,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17419,LEC 2019 Spring,LEC,16/03/2019 20:34,26:28:00,SK Gaming,FC Schalke 04 Esports,1,0,SK Gaming,2019,EMEA,SK,EMEA,EMEA,S04,EMEA,EMEA,SK,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17676,LEC 2019 Spring Playoffs,LEC,29/03/2019 16:30,34:35:00,Fnatic,Team Vitality,1,0,Fnatic,2019,EMEA,FNC,EMEA,EMEA,VIT,EMEA,EMEA,FNC,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
